id,ra,dec,maj_ax,min_ax
NGC2009,05:30:59.16,-69:10:54.0,1.4,1.2
NGC2010,05:30:34.93,-70:49:10.8,1.9,1.7
NGC2011,05:32:20.21,-67:31:23.3,1.0,1.0
NGC2012,05:22:35.35,-79:51:06.5,1.29,0.76
NGC2013,05:44:01.67,+55:47:36.9,,
NGC2014,05:32:19.87,-67:41:23.4,5.1,3.5
NGC2015,05:32:06.49,-69:14:34.9,4.7,4.0
NGC2016,05:31:38.82,-69:56:45.1,1.8,1.8
NGC2017,05:39:16.31,-17:50:54.6,5.0,
NGC2018,05:31:24.89,-71:04:08.6,2.8,1.7
NGC2019,05:31:56.66,-70:09:34.5,1.5,1.5
NGC2020,05:33:12.59,-67:42:57.2,3.2,2.9
NGC2021,05:33:30.67,-67:27:10.4,0.9,0.9
NGC2022,05:42:06.21,+09:05:11.5,0.32,
NGC2023,05:41:38.39,-02:15:32.5,10.0,8.0
NGC2024,05:41:42.57,-01:51:22.6,30.0,30.0
NGC2025,05:32:33.64,-71:42:55.8,1.9,1.9
NGC2026,05:43:10.15,+20:08:20.0,4.2,
NGC2027,05:34:59.71,-66:54:58.7,4.6,2.8
NGC2028,05:33:48.57,-69:57:06.5,1.1,1.0
NGC2029,05:35:40.66,-66:02:06.0,1.1,0.85
NGC2030,05:34:59.74,-67:33:22.9,1.7,1.7
NGC2031,05:33:41.82,-70:59:12.4,3.3,2.8
NGC2032,05:35:20.62,-67:34:06.4,2.8,1.4
NGC2033,05:34:30.70,-69:46:48.5,5.9,4.6
NGC2034,05:35:32.77,-66:54:13.1,4.5,3.2
NGC2035,05:35:31.20,-67:35:03.0,1.8,1.3
NGC2036,05:34:31.39,-70:03:51.7,1.6,1.6
NGC2037,05:35:00.63,-69:43:53.7,2.9,1.3
NGC2038,05:34:42.27,-70:33:46.6,1.6,1.5
NGC2039,05:44:00.91,+08:41:27.8,,
NGC2040,05:36:05.93,-67:34:06.8,2.1,1.7
NGC2041,05:36:28.05,-66:59:23.2,2.6,2.6
NGC2042,05:36:09.58,-68:55:24.4,4.5,4.5
NGC2043,05:35:57.18,-70:04:27.9,0.65,0.55
NGC2044,05:36:06.18,-69:11:55.2,5.5,4.5
NGC2045,05:45:01.30,+12:53:18.1,,
NGC2046,05:35:37.53,-70:14:26.5,1.1,1.0
NGC2047,05:35:52.99,-70:11:33.6,0.95,0.9
NGC2048,05:35:55.59,-69:38:54.7,1.4,1.0
NGC2049,05:43:15.31,-30:04:42.2,2.14,0.97
NGC2050,05:36:38.82,-69:23:00.7,3.0,2.4
NGC2051,05:36:07.34,-71:00:41.0,1.5,1.5
NGC2052,05:37:11.05,-69:46:27.1,18.0,12.0
NGC2053,05:37:39.70,-67:24:46.5,1.5,1.3
NGC2054,05:45:15.38,-10:04:59.3,,
NGC2055,05:36:44.73,-69:29:55.1,1.9,1.3
NGC2056,05:36:33.97,-70:40:18.8,1.5,1.5
NGC2057,05:36:55.14,-70:16:08.2,1.3,1.2
NGC2058,05:36:54.22,-70:09:44.1,2.1,2.1
NGC2059,05:37:00.55,-70:07:44.5,1.1,1.0
NGC2060,05:37:46.90,-69:10:18.0,2.2,2.0
NGC2061,05:42:41.77,-34:00:34.3,,
NGC2062,05:40:02.70,-66:52:32.7,1.2,1.1
NGC2063,05:46:43.03,+08:46:52.0,,
NGC2064,05:46:18.39,+00:00:21.4,10.0,10.0
NGC2065,05:37:38.42,-70:14:11.3,2.3,2.3
NGC2066,05:37:43.12,-70:09:59.6,1.0,0.9
NGC2067,05:46:31.88,+00:07:52.5,8.0,3.0
NGC2068,05:46:45.82,+00:04:45.5,4.5,
NGC2069,05:38:46.44,-68:58:27.8,5.0,2.2
NGC2070,05:38:42.36,-69:06:03.2,16.0,16.0
NGC2071,05:47:07.26,+00:17:39.3,7.0,5.0
NGC2072,05:38:24.39,-70:14:02.6,1.0,0.9
NGC2073,05:45:53.91,-21:59:56.9,1.44,1.38
NGC2074,05:39:03.58,-69:29:53.2,4.0,3.4
NGC2075,05:38:21.35,-70:41:06.1,2.2,1.8
NGC2076,05:46:47.46,-16:46:57.4,2.52,1.5
NGC2077,05:39:36.02,-69:39:25.6,1.3,1.3
NGC2078,05:39:39.45,-69:44:35.4,1.2,1.1
NGC2079,05:39:37.60,-69:45:25.9,1.1,0.95
NGC2080,05:39:45.82,-69:38:38.8,1.7,1.5
NGC2081,05:39:59.39,-69:24:21.2,8.5,6.0
NGC2082,05:41:51.12,-64:18:04.1,2.06,1.86
NGC2083,05:39:59.22,-69:44:15.3,2.0,1.8
NGC2084,05:40:07.00,-69:45:33.9,1.7,1.2
NGC2085,05:40:09.83,-69:40:22.1,0.95,0.95
NGC2086,05:40:12.88,-69:40:04.3,0.85,0.8
NGC2087,05:44:16.03,-55:31:56.8,0.81,0.59
NGC2088,05:40:59.81,-68:27:55.3,1.5,1.4
NGC2089,05:47:51.43,-17:36:08.6,2.2,1.08
NGC2090,05:47:01.89,-34:15:02.2,4.47,1.67
NGC2091,05:40:58.04,-69:26:13.5,1.3,1.2
NGC2092,05:41:22.00,-69:13:27.2,1.0,0.9
NGC2093,05:41:49.74,-68:55:17.1,1.5,1.3
NGC2094,05:42:08.85,-68:21:49.6,0.85,0.75
NGC2095,05:42:36.16,-67:19:08.0,1.5,1.4
NGC2096,05:42:17.80,-68:27:31.0,1.1,0.9
NGC2097,05:44:16.02,-62:47:08.2,1.9,1.9
NGC2098,05:42:31.03,-68:16:23.4,2.2,2.0
NGC2099,05:52:18.35,+32:33:10.8,11.4,
NGC2100,05:42:09.07,-69:12:42.6,2.5,2.5
NGC2101,05:46:24.17,-52:05:18.7,1.24,0.65
NGC2102,05:42:20.49,-69:29:13.5,0.85,0.85
NGC2103,05:41:40.35,-71:19:59.3,4.0,3.5
NGC2104,05:47:04.73,-51:33:10.5,2.12,0.91
NGC2105,05:44:19.18,-66:55:03.4,1.7,1.5
NGC2106,05:50:46.63,-21:34:02.1,2.43,1.22
NGC2107,05:43:12.88,-70:38:23.8,1.7,1.7
NGC2108,05:43:56.87,-69:10:55.6,1.8,1.8
NGC2109,05:44:22.92,-68:32:52.1,1.6,1.6
NGC2110,05:52:11.38,-07:27:22.4,1.83,1.45
NGC2111,05:44:32.99,-70:59:35.7,1.5,1.4
NGC2112,05:53:45.21,+00:24:38.9,21.0,
NGC2113,05:45:24.57,-69:46:27.0,1.1,1.1
NGC2114,05:46:12.11,-68:02:53.9,1.4,1.2
NGC2115,05:51:20.70,-50:35:15.0,1.33,
NGC2115A,05:51:19.82,-50:34:58.3,1.21,1.06
NGC2115B,05:51:21.21,-50:35:33.0,0.57,0.47
NGC2116,05:47:15.16,-68:30:28.6,1.2,1.1
NGC2117,05:47:45.92,-67:27:00.6,2.0,1.8
NGC2118,05:47:39.57,-69:07:54.6,1.6,1.6
NGC2119,05:57:26.95,+11:56:57.1,1.26,0.99
NGC2120,05:50:34.61,-63:40:39.4,2.2,2.2
NGC2121,05:48:12.84,-71:28:47.2,2.7,2.2
NGC2122,05:48:52.51,-70:04:12.3,6.0,5.0
NGC2123,05:51:43.32,-65:19:17.3,1.5,1.5
NGC2124,05:57:52.23,-20:05:04.7,2.84,0.81
NGC2125,05:50:54.23,-69:28:44.9,1.1,1.1
NGC2126,06:02:32.98,+49:51:57.3,5.4,
NGC2127,05:51:21.28,-69:21:32.6,1.5,1.5
NGC2128,06:04:34.23,+57:37:39.9,1.44,1.01
NGC2129,06:01:06.54,+23:19:19.8,3.9,
NGC2130,05:52:23.72,-67:20:02.8,1.4,1.3
NGC2131,05:58:47.52,-26:39:10.8,1.16,0.49
NGC2132,05:55:44.32,-59:55:39.8,7.8,
NGC2133,05:51:28.72,-71:10:30.1,1.6,1.6
NGC2134,05:51:57.70,-71:05:51.3,2.8,2.8
NGC2135,05:53:35.43,-67:25:46.3,1.5,1.5
NGC2136,05:52:57.75,-69:29:33.9,2.8,2.5
NGC2137,05:53:13.15,-69:28:55.1,1.1,1.0
NGC2138,05:54:50.18,-65:50:13.6,1.2,1.2
NGC2139,06:01:07.81,-23:40:21.5,2.94,2.16
NGC2140,05:54:16.18,-68:35:59.4,1.5,1.5
NGC2141,06:02:55.06,+10:26:47.3,5.4,
NGC2142,06:01:50.43,-10:35:52.6,,
NGC2143,06:03:01.56,+05:49:52.6,6.9,
NGC2144,05:40:57.19,-82:07:09.8,1.46,1.15
NGC2145,05:54:23.06,-70:54:03.7,1.5,1.5
NGC2146,06:18:37.71,+78:21:25.3,5.31,4.32
NGC2146A,06:23:55.20,+78:31:48.4,2.72,1.1
NGC2147,05:55:45.60,-68:12:05.7,0.95,0.95
NGC2148,05:58:45.85,-59:07:33.4,1.17,0.82
NGC2149,06:03:30.79,-09:43:50.1,3.0,2.0
NGC2150,05:55:46.34,-69:33:38.9,1.15,0.61
NGC2151,05:56:20.44,-69:01:02.5,1.3,1.3
NGC2152,06:00:55.29,-50:44:27.3,1.12,0.77
NGC2153,05:57:51.72,-66:24:02.4,1.5,1.5
NGC2154,05:57:37.49,-67:15:49.6,2.4,2.4
NGC2155,05:58:33.21,-65:28:35.3,2.4,2.4
NGC2156,05:57:49.68,-68:27:38.9,2.1,2.1
NGC2157,05:57:34.78,-69:11:50.0,2.8,2.8
NGC2158,06:07:25.61,+24:05:46.2,8.4,
NGC2159,05:58:03.88,-68:37:22.5,1.9,1.9
NGC2160,05:58:12.84,-68:17:22.5,1.4,1.4
NGC2161,05:55:43.06,-74:21:14.2,2.3,2.3
NGC2162,06:00:30.17,-63:43:17.2,3.0,3.0
NGC2163,06:07:49.54,+18:39:26.8,3.0,2.0
NGC2164,05:58:56.26,-68:30:57.2,2.8,2.8
NGC2165,06:11:04.21,+51:40:38.3,,
NGC2166,05:59:34.14,-67:56:32.4,1.4,1.4
NGC2167,06:06:58.56,-06:12:09.5,,
NGC2168,06:09:05.06,+24:20:19.1,24.0,
NGC2169,06:08:24.35,+13:57:53.5,7.2,
NGC2170,06:07:31.82,-06:23:57.5,2.0,2.0
NGC2171,05:58:59.64,-70:43:08.8,,
NGC2172,06:00:05.84,-68:38:12.9,1.7,1.7
NGC2173,05:57:58.88,-72:58:28.3,2.6,2.6
NGC2174,06:09:23.62,+20:39:34.5,40.0,30.0
NGC2175,06:09:39.55,+20:29:15.3,5.4,
NGC2176,06:01:19.38,-66:51:11.7,1.1,1.0
NGC2177,06:01:16.49,-67:43:59.7,1.5,1.4
NGC2178,06:02:47.58,-63:45:49.3,1.27,1.0
NGC2179,06:08:02.22,-21:44:48.1,1.99,1.44
NGC2180,06:09:36.25,+04:42:41.8,4.2,
NGC2181,06:02:43.66,-65:15:53.5,1.5,1.5
NGC2182,06:09:30.95,-06:19:35.2,3.0,2.0
NGC2183,06:10:46.93,-06:12:42.6,12.0,
NGC2184,06:10:59.67,-03:29:42.6,6.6,
NGC2185,06:11:00.47,-06:13:36.7,2.0,2.0
NGC2186,06:12:07.13,+05:27:30.9,4.2,
NGC2187,06:03:48.50,-69:35:00.0,3.33,
NGC2187A,06:03:44.25,-69:35:17.9,3.52,1.66
NGC2187B,06:03:52.42,-69:34:38.8,2.67,2.18
NGC2188,06:10:09.53,-34:06:22.3,5.42,1.33
NGC2189,06:12:09.99,+01:03:57.5,,
NGC2190,06:01:01.79,-74:43:31.5,2.2,2.2
NGC2191,06:08:23.87,-52:30:44.3,1.77,0.86
NGC2192,06:15:17.43,+39:51:18.8,5.4,
NGC2193,06:06:17.52,-65:05:55.6,1.7,1.7
NGC2194,06:13:45.91,+12:48:24.0,8.7,
NGC2195,06:14:33.81,+17:38:21.8,,
NGC2196,06:12:09.65,-21:48:21.4,2.77,2.16
NGC2197,06:06:07.31,-67:05:50.0,1.8,1.6
NGC2198,06:13:54.91,+00:59:40.8,,
NGC2199,06:04:44.95,-73:23:59.4,2.21,0.88
NGC2200,06:13:17.58,-43:39:47.4,1.21,0.94
NGC2201,06:13:31.61,-43:42:17.0,1.03,0.72
NGC2202,06:16:50.75,+05:59:46.2,4.8,
NGC2203,06:04:42.55,-75:26:18.3,3.2,3.2
NGC2204,06:15:32.22,-18:39:57.1,6.3,
NGC2205,06:10:32.73,-62:32:18.3,1.3,0.99
NGC2206,06:15:59.84,-26:45:55.7,2.45,1.07
NGC2207,06:16:22.03,-21:22:21.6,4.86,2.71
NGC2208,06:22:34.68,+51:54:34.1,1.73,1.0
NGC2209,06:08:35.91,-73:50:18.3,2.9,2.9
NGC2210,06:11:31.36,-69:07:17.0,3.3,3.3
NGC2211,06:18:30.36,-18:32:14.2,1.39,0.73
NGC2212,06:18:35.76,-18:31:10.1,1.28,0.69
NGC2213,06:10:41.94,-71:31:42.4,2.1,2.1
NGC2214,06:12:56.93,-68:15:38.6,3.1,3.1
NGC2215,06:20:49.25,-07:17:01.6,8.4,
NGC2216,06:21:30.74,-22:05:14.8,1.43,1.11
NGC2217,06:21:39.78,-27:14:01.5,4.63,4.12
NGC2218,06:24:41.49,+19:20:28.7,,
NGC2219,06:23:44.32,-04:40:38.2,4.2,
NGC2220,06:21:10.76,-44:45:35.2,4.2,
NGC2221,06:20:15.72,-57:34:42.3,2.41,0.51
NGC2222,06:20:17.06,-57:32:04.1,1.35,0.38
NGC2223,06:24:35.91,-22:50:17.7,2.82,2.25
NGC2224,06:27:28.59,+12:35:36.2,,
NGC2225,06:26:34.49,-09:37:50.7,3.6,
NGC2226,06:26:37.58,-09:38:34.0,,
NGC2227,06:25:57.98,-22:00:17.4,2.27,1.21
NGC2228,06:21:15.54,-64:27:31.8,0.99,0.84
NGC2229,06:21:23.68,-64:57:24.0,1.24,0.52
NGC2230,06:21:27.56,-64:59:34.0,1.32,0.65
NGC2231,06:20:42.97,-67:31:06.6,2.1,2.1
NGC2232,06:28:01.13,-04:50:50.8,9.9,
NGC2233,06:21:40.06,-65:02:00.1,0.98,0.37
NGC2234,06:29:21.68,+16:43:22.3,4.2,
NGC2235,06:22:21.91,-64:56:03.9,1.41,1.15
NGC2236,06:29:39.70,+06:49:50.5,5.4,
NGC2237,06:30:54.61,+05:02:57.0,80.0,50.0
NGC2238,06:30:40.37,+05:00:47.0,80.0,60.0
NGC2239,06:31:55.56,+04:56:34.6,9.3,
NGC2240,06:33:10.55,+35:15:00.7,3.6,
NGC2241,06:22:51.36,-68:55:31.4,1.6,1.6
NGC2242,06:34:07.24,+44:46:37.3,0.45,
NGC2243,06:29:34.48,-31:16:52.8,5.1,
NGC2244,06:31:55.56,+04:56:34.6,,
NGC2245,06:32:41.25,+10:09:23.9,2.0,2.0
NGC2246,06:32:33.80,+05:07:41.8,10.0,10.0
NGC2247,06:33:05.20,+10:19:20.1,2.0,2.0
NGC2248,06:34:35.75,+26:18:16.0,,
NGC2249,06:25:49.57,-68:55:11.2,2.3,2.3
NGC2250,06:33:49.88,-05:05:04.0,5.1,
NGC2251,06:34:38.48,+08:21:59.0,5.7,
NGC2252,06:34:42.97,+05:21:58.5,6.6,
NGC2253,06:43:41.84,+65:12:22.6,1.43,1.05
NGC2254,06:35:49.66,+07:40:23.8,4.2,
NGC2255,06:33:58.63,-34:48:45.3,1.47,0.78
NGC2256,06:47:13.97,+74:14:11.5,2.17,1.97
NGC2257,06:30:13.86,-64:19:32.2,4.0,4.0
NGC2258,06:47:45.80,+74:28:54.0,3.02,1.91
NGC2259,06:38:21.44,+10:53:01.0,6.0,
NGC2260,06:38:03.07,-01:28:22.2,,
NGC2261,06:39:09.51,+08:44:39.6,2.0,1.0
NGC2262,06:39:38.08,+01:08:37.1,3.9,
NGC2263,06:38:28.84,-24:50:55.3,2.86,1.77
NGC2264,06:40:58.25,+09:53:43.7,11.4,
NGC2265,06:41:41.64,+11:54:16.7,4.5,
NGC2266,06:43:19.21,+26:58:10.4,4.2,
NGC2267,06:40:51.70,-32:28:56.2,1.71,1.44
NGC2268,07:14:17.44,+84:22:56.2,2.14,0.93
NGC2269,06:43:17.08,+04:37:27.5,4.8,
NGC2270,06:43:57.76,+03:28:42.6,5.4,
NGC2271,06:42:52.99,-23:28:33.6,1.77,1.29
NGC2272,06:42:41.30,-27:27:34.2,2.19,1.54
NGC2273,06:50:08.66,+60:50:44.9,2.29,1.39
NGC2273A,06:40:07.09,+60:04:50.4,2.0,1.19
NGC2273B,06:46:31.58,+60:20:25.4,1.48,0.61
NGC2274,06:47:17.37,+33:34:01.9,1.78,1.77
NGC2275,06:47:17.93,+33:35:57.2,2.51,0.78
NGC2276,07:27:14.36,+85:45:16.4,2.23,1.73
NGC2277,06:47:47.03,+33:27:04.6,,
NGC2278,06:48:16.42,+33:23:39.5,,
NGC2279,06:48:24.85,+33:24:54.9,,
NGC2280,06:44:49.11,-27:38:19.0,6.53,2.84
NGC2281,06:48:17.84,+41:04:43.9,10.8,
NGC2282,06:46:51.57,+01:18:57.6,3.0,3.0
NGC2283,06:45:52.69,-18:12:37.2,2.76,2.01
NGC2284,06:49:09.56,+33:11:37.7,,
NGC2285,06:49:36.02,+33:21:52.8,,
NGC2286,06:47:40.17,-03:08:51.6,5.4,
NGC2287,06:45:59.94,-20:45:15.2,12.0,
NGC2288,06:50:51.96,+33:27:44.8,0.17,0.17
NGC2289,06:50:53.61,+33:28:43.2,1.21,0.81
NGC2290,06:50:56.92,+33:26:15.3,0.81,0.52
NGC2291,06:50:58.64,+33:31:30.3,0.93,0.89
NGC2292,06:47:39.65,-26:44:46.5,4.34,3.78
NGC2293,06:47:42.91,-26:45:15.7,4.41,3.44
NGC2294,06:51:11.30,+33:31:37.6,0.91,0.33
NGC2295,06:47:23.42,-26:44:10.5,2.31,0.64
NGC2296,06:48:39.11,-16:54:05.8,1.2,0.96
NGC2297,06:44:24.59,-63:43:02.4,1.48,0.9
NGC2298,06:48:59.20,-36:00:19.1,4.8,
NGC2299,06:51:53.68,-07:04:57.8,4.8,
NGC2300,07:32:19.97,+85:42:34.2,3.05,2.34
NGC2301,06:51:45.30,+00:27:33.1,10.8,
NGC2302,06:51:53.68,-07:04:57.8,,
NGC2303,06:56:17.50,+45:29:33.9,1.53,1.36
NGC2304,06:55:11.61,+17:59:34.0,4.8,
NGC2305,06:48:37.37,-64:16:23.5,1.94,1.04
NGC2306,06:54:29.56,-07:12:14.9,6.6,
NGC2307,06:48:50.79,-64:20:07.9,1.85,1.72
NGC2308,06:58:37.59,+45:12:38.0,1.47,0.98
NGC2309,06:56:03.61,-07:10:27.5,5.4,
NGC2310,06:53:53.96,-40:51:45.4,4.52,0.95
NGC2311,06:57:47.55,-04:36:40.8,6.0,
NGC2312,06:58:46.74,+10:17:40.1,3.0,
NGC2313,06:58:02.80,-07:56:42.1,,
NGC2314,07:10:32.55,+75:19:36.0,1.32,1.03
NGC2315,07:02:33.06,+50:35:26.1,1.57,0.3
NGC2316,06:59:40.85,-07:46:39.9,4.0,3.0
NGC2317,06:59:41.59,-07:46:28.2,,
NGC2318,06:59:27.02,-13:41:54.2,4.5,
NGC2319,07:00:32.21,+03:02:31.9,6.0,
NGC2320,07:05:42.03,+50:34:51.8,1.48,0.83
NGC2321,07:05:59.00,+50:45:21.7,1.28,1.04
NGC2322,07:06:00.30,+50:30:37.1,1.11,0.41
NGC2323,07:02:40.47,-08:21:50.5,14.1,
NGC2324,07:04:07.96,+01:02:40.6,8.7,
NGC2325,07:02:40.40,-28:41:50.0,3.97,2.31
NGC2326,07:08:11.02,+50:40:55.0,2.05,1.69
NGC2326A,07:08:34.21,+50:37:53.0,0.81,0.64
NGC2327,07:04:07.22,-11:18:50.8,1.0,1.0
NGC2328,07:02:36.20,-42:04:06.8,1.59,1.44
NGC2329,07:09:08.01,+48:36:55.5,1.41,1.17
NGC2330,07:09:28.40,+50:09:09.1,0.65,0.52
NGC2331,07:06:59.83,+27:15:41.7,4.8,
NGC2332,07:09:34.16,+50:10:56.2,1.72,1.17
NGC2333,07:08:21.34,+35:10:12.1,1.0,0.7
NGC2334,07:11:33.65,+50:14:53.7,1.2,0.87
NGC2335,07:06:49.45,-10:01:43.1,8.7,
NGC2336,07:27:04.05,+80:10:41.1,5.01,2.81
NGC2337,07:10:13.58,+44:27:26.3,2.18,1.61
NGC2338,07:07:47.37,-05:43:11.0,3.3,
NGC2339,07:08:20.54,+18:46:48.9,2.42,1.53
NGC2340,07:11:10.83,+50:10:29.1,3.16,1.64
NGC2341,07:09:12.04,+20:36:10.5,0.82,0.79
NGC2342,07:09:18.08,+20:38:09.5,1.17,0.84
NGC2343,07:08:06.80,-10:37:00.5,7.5,
NGC2344,07:12:28.66,+47:10:00.1,2.07,1.87
NGC2345,07:08:18.79,-13:11:37.5,6.9,
NGC2346,07:09:23.01,-00:48:32.9,0.87,
NGC2347,07:16:03.69,+64:42:32.1,1.64,1.19
NGC2348,07:03:02.52,-67:23:38.2,5.7,
NGC2349,07:10:48.15,-08:35:35.7,5.1,
NGC2350,07:13:12.19,+12:15:57.9,1.38,0.7
NGC2351,07:13:32.03,-10:29:29.1,3.0,
NGC2352,07:13:05.44,-24:02:45.9,4.8,
NGC2353,07:14:30.31,-10:15:57.1,6.6,
NGC2354,07:14:05.27,-25:41:20.1,4.8,
NGC2355,07:16:59.26,+13:44:59.5,6.0,
NGC2356,07:16:59.26,+13:44:59.5,,
NGC2357,07:17:40.99,+23:21:24.3,3.22,0.48
NGC2358,07:16:56.33,-17:07:01.5,9.6,
NGC2359,07:18:30.98,-13:13:37.9,10.0,5.0
NGC2360,07:17:43.12,-15:38:28.7,9.0,
NGC2361,07:18:23.80,-13:12:34.4,,
NGC2362,07:18:41.47,-24:57:15.1,7.2,
NGC2363,07:28:29.59,+69:11:34.3,1.13,0.64
NGC2364,07:20:46.47,-07:32:59.0,,
NGC2365,07:22:22.55,+22:04:59.8,2.75,1.47
NGC2366,07:28:54.66,+69:12:56.8,4.37,1.44
NGC2367,07:20:04.54,-21:53:02.7,5.4,
NGC2368,07:21:06.30,-10:22:18.4,4.5,
NGC2369,07:16:37.73,-62:20:37.4,3.03,0.68
NGC2369A,07:18:43.54,-62:56:10.6,2.01,1.21
NGC2369B,07:20:29.63,-62:03:14.3,1.48,1.24
NGC2370,07:25:01.66,+23:46:59.6,1.2,0.7
NGC2371,07:25:34.66,+29:29:26.3,2.2,0.96
NGC2372,07:25:34.66,+29:29:26.3,,
NGC2373,07:26:36.95,+33:49:25.3,0.59,0.42
NGC2374,07:23:56.07,-13:15:48.1,9.0,
NGC2375,07:27:09.48,+33:49:54.5,1.0,0.8
NGC2376,07:26:35.91,+23:04:22.6,0.65,0.57
NGC2377,07:24:56.82,-09:39:33.5,1.6,1.11
NGC2378,07:27:24.20,+33:49:53.7,,
NGC2379,07:27:26.26,+33:48:40.5,0.98,0.7
NGC2380,07:23:54.75,-27:31:44.6,2.52,2.4
NGC2381,07:19:57.31,-63:04:01.3,1.53,1.24
NGC2382,07:23:54.75,-27:31:44.6,,
NGC2383,07:24:39.90,-20:56:51.5,4.2,
NGC2384,07:25:09.83,-21:01:11.5,4.8,
NGC2385,07:28:28.07,+33:50:16.1,0.94,0.68
NGC2386,07:28:37.92,+33:46:25.7,,
NGC2387,07:28:57.93,+36:52:47.3,0.48,0.44
NGC2388,07:28:53.44,+33:49:08.7,0.87,0.56
NGC2389,07:29:04.65,+33:51:39.5,1.56,0.89
NGC2390,07:29:04.27,+33:50:12.5,,
NGC2391,07:29:07.49,+33:49:33.4,,
NGC2392,07:29:10.76,+20:54:42.6,0.86,
NGC2393,07:30:04.63,+34:01:40.0,1.07,0.67
NGC2394,07:28:36.51,+07:05:11.6,,
NGC2395,07:27:12.85,+13:36:29.5,4.62,
NGC2396,07:28:02.92,-11:43:10.8,6.6,
NGC2397,07:21:19.98,-69:00:05.3,2.51,0.76
NGC2397A,07:21:07.91,-69:06:55.2,1.1,0.84
NGC2397B,07:21:55.57,-68:50:44.9,1.2,0.57
NGC2398,07:30:16.16,+24:29:16.4,1.2,0.74
NGC2399,07:29:50.17,-00:12:51.7,,
NGC2400,07:29:54.86,-00:12:53.0,,
NGC2401,07:29:24.40,-13:57:58.4,2.7,
NGC2402,07:30:47.20,+09:39:02.0,1.5,
NGC2402 NED01,07:30:46.58,+09:38:48.8,1.23,0.72
NGC2402 NED02,07:30:47.80,+09:39:13.0,0.91,0.68
NGC2403,07:36:51.40,+65:36:09.2,19.95,10.07
NGC2404,07:37:06.73,+65:36:38.9,,
NGC2405,07:32:13.98,+25:54:23.0,0.94,0.55
NGC2406,07:31:47.74,+18:17:16.5,0.69,0.61
NGC2407,07:31:56.67,+18:19:59.1,1.37,0.95
NGC2408,07:40:31.92,+71:40:05.5,,
NGC2409,07:31:36.72,-17:11:25.5,0.11,
NGC2410,07:35:02.26,+32:49:19.6,2.17,0.65
NGC2411,07:34:36.33,+18:16:53.6,1.0,0.65
NGC2412,07:34:21.48,+08:32:52.0,,
NGC2413,07:33:16.50,-13:05:44.0,4.8,
NGC2414,07:33:12.80,-15:27:13.9,5.4,
NGC2415,07:36:56.69,+35:14:31.1,0.83,0.83
NGC2416,07:35:41.52,+11:36:43.3,0.87,0.18
NGC2417,07:30:12.09,-62:15:09.5,2.48,1.78
NGC2418,07:36:37.51,+17:53:02.1,1.59,1.53
NGC2419,07:38:07.95,+38:52:47.9,4.5,
NGC2420,07:38:23.90,+21:34:26.7,7.5,
NGC2421,07:36:11.81,-20:36:44.1,5.1,
NGC2422,07:36:35.02,-14:28:57.4,19.8,
NGC2423,07:37:06.73,-13:52:17.4,11.7,
NGC2424,07:40:39.29,+39:13:59.9,3.37,0.52
NGC2425,07:38:17.63,-14:52:40.2,5.4,
NGC2426,07:43:18.46,+52:19:06.6,1.1,1.1
NGC2427,07:36:28.18,-47:38:08.0,5.74,2.46
NGC2428,07:39:21.77,-16:31:44.5,4.5,
NGC2429,07:43:49.70,+52:21:11.0,2.3,
NGC2429A,07:43:47.58,+52:21:26.7,1.68,0.31
NGC2429B,07:43:51.83,+52:20:54.5,0.41,0.22
NGC2430,07:39:41.05,-16:17:45.8,4.2,
NGC2431,07:45:13.39,+53:04:30.4,0.86,0.78
NGC2432,07:40:53.87,-19:04:08.7,5.4,
NGC2433,07:42:43.63,+09:15:33.3,,
NGC2434,07:34:51.16,-69:17:02.9,2.69,2.2
NGC2435,07:44:13.58,+31:39:04.0,2.17,0.42
NGC2436,07:45:13.39,+53:04:30.4,,
NGC2437,07:41:46.82,-14:48:36.0,21.0,
NGC2438,07:41:50.39,-14:44:08.8,1.07,
NGC2439,07:40:45.41,-31:41:32.7,8.7,
NGC2440,07:41:55.36,-18:12:30.5,0.27,
NGC2441,07:51:54.74,+73:00:56.5,1.98,1.81
NGC2442,07:36:23.84,-69:31:51.0,4.68,3.09
NGC2443,07:36:23.84,-69:31:51.0,,
NGC2444,07:46:53.04,+39:01:54.7,1.07,0.66
NGC2445,07:46:55.10,+39:00:54.6,1.86,1.12
NGC2446,07:48:39.24,+54:36:42.9,1.75,0.91
NGC2447,07:44:29.23,-23:51:11.1,15.0,
NGC2448,07:44:33.19,-24:40:23.4,6.0,
NGC2449,07:47:20.28,+26:55:48.6,1.44,0.57
NGC2450,07:47:32.28,+27:01:08.9,0.97,0.3
NGC2451,07:45:15.01,-37:58:02.8,37.5,
NGC2452,07:47:26.37,-27:20:02.4,0.32,
NGC2453,07:47:34.13,-27:11:41.3,3.0,
NGC2454,07:50:35.02,+16:22:06.9,1.18,0.51
NGC2455,07:48:58.60,-21:17:52.6,4.5,
NGC2456,07:54:10.66,+55:29:43.1,1.15,0.79
NGC2457,07:54:45.73,+55:32:47.6,0.5,0.26
NGC2458,07:55:51.37,+56:42:38.2,0.46,0.33
NGC2459,07:52:01.77,+09:33:26.7,2.7,
NGC2460,07:56:52.29,+60:20:57.8,1.83,1.37
NGC2461,07:56:26.26,+56:40:23.9,,
NGC2462,07:56:32.06,+56:41:13.6,0.6,0.35
