designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
M  90,N/A,NGC 4569,Galaxy,VIR,9.5,13.4,9.9',12 36.8,+13 10,189.20749999999998,13.162777777777778,SBab
M  91,N/A,NGC 4548,Galaxy,COM,10.1,13.4,5.2',12 35.4,+14 30,188.86041666666668,14.496388888888887,SBb
M  92,N/A,NGC 6341,Glob CL,HER,6.5,11,11.2',17 17.1,+43 08,259.28041666666667,43.13638888888889,IV
M  93,Butterfly Cluster,NGC 2447,Opn CL,PUP,6.2,12,22',07 44.5,-23 51,116.125,-23.860000000000003,IV 1 p
M  94,N/A,NGC 4736,Galaxy,CVN,8.2,13.1,12.3',12 50.9,+41 07,192.72083333333333,41.120555555555555,Sb Ring
M  95,N/A,NGC 3351,Galaxy,LEO,9.7,13.5,7.3',10 44.0,+11 42,160.99041666666668,11.703888888888889,SBb
M  96,N/A,NGC 3368,Galaxy,LEO,9.3,13.1,7.8',10 46.8,+11 49,161.69041666666666,11.82,SBab Ring
M  97,Owl Nebula,NGC 3587,Pln Neb,UMA,11,12.1,202'',11 14.8,+55 01,168.69875,55.01916666666666,3a
M  98,N/A,NGC 4192,Galaxy,COM,10.1,13.6,9.4',12 13.8,+14 54,183.45125,14.900277777777777,SBb
M  99,Coma Pinwheel Galaxy,NGC 4254,Galaxy,COM,9.9,13.2,5.3',12 18.8,+14 25,184.70666666666668,14.41638888888889,Sc
M 100,N/A,NGC 4321,Galaxy,COM,9.4,13.4,7.5',12 22.9,+15 49,185.72875000000002,15.8225,SBbc
M 101,Pinwheel Galaxy,NGC 5457,Galaxy,UMA,7.9,14.9,28.5',14 03.2,+54 21,210.8025,54.34916666666667,SBc
M 102,Spindle Galaxy,NGC 5866,Galaxy,DRA,9.9,12.2,6.5',15 06.5,+55 46,226.6220833333333,55.763333333333335,Sa
M 103,N/A,NGC  581,Opn CL,CAS,7.4,11,6',01 33.4,+60 39,23.35,60.65,III 2 p
M 104,Sombrero Galaxy,NGC 4594,Galaxy,VIR,8,11.6,8.6',12 40.0,-11 37,189.9975,-11.623055555555556,Sab
M 105,N/A,NGC 3379,Galaxy,LEO,9.3,12.8,5.3',10 47.8,+12 35,161.95666666666665,12.581666666666667,E1
M 106,N/A,NGC 4258,Galaxy,CVN,8.4,13.6,17.4',12 19.0,+47 18,184.73958333333334,47.303888888888885,SBbc
M 107,N/A,NGC 6171,Glob CL,OPH,7.8,12,3.3',16 32.5,-13 03,248.13291666666672,-13.053611111111111,X
M 108,N/A,NGC 3556,Galaxy,UMA,10,13.1,8.6',11 11.5,+55 40,167.87916666666666,55.674166666666665,SBc
M 109,N/A,NGC 3992,Galaxy,UMA,9.8,13.6,7.5',11 57.6,+53 22,179.39999999999998,53.37444444444444,SBbc
M 110,N/A,NGC  205,Galaxy,AND,8.1,14,19.5',00 40.4,+41 41,10.092083333333333,41.68527777777778,SA0
