designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
UGC  9837,N/A,MCG +10-22-013,Galaxy,DRA,13.3,14.4,2',15 23.8,+58 03,230.95,58.05,S(B)c
UGC  9858,N/A,PGC 55104,Galaxy,BOO,12.8,14,4.4',15 26.6,+40 34,231.65,40.56666666666667,S(B)b+
UGC  9912,N/A,PGC 55506,Galaxy,SER,13.5,14.5,1.7',15 35.1,+16 33,233.775,16.55,SBdm
UGC  9941,N/A,PGC 55660,Galaxy,SER,13.8,14.6,1.3',15 38.4,+12 57,234.60000000000002,12.95,Ir+
UGC  9977,N/A,PGC 55821,Galaxy,SER,13.2,13.7,3.9',15 42.0,+00 42,235.5,0.7,Sc
UGC 10020,N/A,PGC 55973,Galaxy,SER,13.5,14.4,2.3',15 45.8,+20 35,236.45000000000002,20.583333333333332,Sd
UGC 10041,N/A,PGC 56111,Galaxy,SER,13,14.6,3.0',15 49.0,+05 11,237.25,5.183333333333334,S(B)dm
UGC 10054,N/A,PGC 55887,Galaxy,UMI,13.7,14.7,2.5',15 44.0,+81 50,236.0,81.83333333333333,SBdm
UGC 10200,N/A,PGC 57098,Galaxy,HER,13.6,-,0.7',16 05.7,+41 21,241.42499999999998,41.35,Pec
UGC 10290,N/A,PGC 57590,Galaxy,SER,13.3,14.4,1.8',16 14.5,+00 49,243.625,0.8166666666666667,Sm
UGC 10736,N/A,PGC 59668,Galaxy,DRA,13.9,14.9,3.1',17 08.1,+69 28,257.02500000000003,69.46666666666667,S(B)dm
UGC 10806,N/A,PGC 60052,Galaxy,HER,13.2,13.8,2.5',17 18.9,+49 52,259.725,49.86666666666667,SB(s)dm
UGC 10822,N/A,Draco Dwarf,Galaxy,DRA,9.9,17.2,33.5',17 20.2,+57 55,260.05,57.916666666666664,dE3
UGC 10862,N/A,PGC 60346,Galaxy,OPH,12.7,14.7,2.7',17 28.2,+07 26,262.04999999999995,7.433333333333334,SB(rs)c
UGC 11074,N/A,PGC 61214,Galaxy,OPH,13.3,14.2,2.3',17 59.1,+07 09,269.775,7.15,Sd
UGC 11093,N/A,PGC 61300,Galaxy,OPH,13.7,13.4,3.1',18 01.9,+06 58,270.475,6.966666666666667,Scd
UGC 11124,N/A,MCG +06-40-005,Galaxy,HER,12.7,14.5,2.7',18 07.5,+35 33,271.875,35.55,SBc
UGC 11141,N/A,PGC 61534,Galaxy,OPH,13.2,14.4,2.8',18 11.8,+12 05,272.95,12.083333333333334,Sdm
UGC 11152,N/A,PGC 61558,Galaxy,HER,13.6,14.4,2.5',18 12.5,+18 36,273.125,18.6,SBdm
UGC 11465,N/A,PGC 63529,Galaxy,CYG,13.8,13,1.3',19 41.7,+50 38,295.425,50.63333333333333,S(B)0
UGC 11557,N/A,MCG +10-29-005,Galaxy,CEP,13.2,14.5,2.1',20 24.0,+60 12,306.0,60.2,S(B)dm
UGC 11651,N/A,PGC 65775,Galaxy,VUL,13.9,14.8,3.4',20 57.3,+25 58,314.325,25.966666666666665,Sdm
UGC 11909,N/A,PGC 68029,Galaxy,LAC,12.3,12.9,3',22 06.3,+47 15,331.575,47.25,S pec
UGC 12074,N/A,PGC 69126,Galaxy,PEG,13.4,11.7,0.6',22 33.1,+08 05,338.275,8.083333333333334,Pec
UGC 12178,N/A,PGC 69650,Galaxy,PEG,13.1,14.7,3.4',22 45.1,+06 26,341.275,6.433333333333334,S(B)dm
UGC 12221,N/A,PGC 69841,Galaxy,CEP,14,14.4,2.3',22 49.9,+82 54,342.475,82.9,Sd
