designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
PK  66- 5.1,N/A,Peimbert 24,Pln Neb,VUL,13.6,-,5'',20 19.6,+27 00,304.90000000000003,27.0,N/A
PK  70+ 1.1,N/A,K3-50,Brt Neb,CYG,-,-,N/A,20 01.7,+33 32,300.425,33.53333333333333,N/A
PK  72-17.1,N/A,Abell 74,Pln Neb,VUL,12.2,-,13.8',21 16.8,+24 10,319.20000000000005,24.166666666666668,2
PK  80- 6.1,N/A,IV Zw 67;CRL 2688,Pln Neb,CYG,13.5,-,1.0',21 02.3,+36 42,315.575,36.7,N/A
PK  86- 8.1,N/A,Hu 1-2,Pln Neb,CYG,12.7,-,32.0'',21 33.1,+39 38,323.275,39.63333333333333,2
PK  93+ 2.1,N/A,M1-79,Pln Neb,CYG,13.2,-,38'',21 37.0,+48 56,324.25,48.93333333333333,4
PK 100- 8.1,N/A,Merrill 2-2,Pln Neb,LAC,11.9,6.1,5.0'',22 31.7,+47 48,337.925,47.8,1
PK 101- 8.1,N/A,Abell 75,Pln Neb,CEP,13.2,-,67'',21 26.4,+62 53,321.6,62.88333333333333,3b
PK 103+ 0.1,N/A,M2-51,Pln Neb,CEP,13.5,-,72.0'',22 16.1,+57 29,334.02500000000003,57.483333333333334,2(3)
PK 103+ 0.2,N/A,M2-52,Pln Neb,CEP,14,10.9,13'',22 20.5,+57 36,335.125,57.6,3
PK 107-13.1,N/A,VY 2-3,Pln Neb,AND,13.9,7.8,4.6'',23 23.0,+46 54,350.75,46.9,2
PK 111- 2.1,N/A,Hubble 12,Pln Neb,CAS,14,2.9,1.0'',23 26.9,+58 11,351.725,58.18333333333333,N/A
PK 118- 8.1,N/A,VY 1-1,Pln Neb,CAS,12.5,-,5'',00 18.7,+53 53,4.675,53.88333333333333,N/A
PK 118+ 2.1,N/A,Sh1-118,Brt Neb,CAM,12.9,-,120'',00 07.6,+64 58,1.8999999999999997,64.96666666666667,N/A
PK 119- 6.1,N/A,Hu 1-1,Pln Neb,CAS,13.3,6.9,5'',00 28.2,+55 57,7.05,55.95,2
PK 121- 2.1,N/A,N/A,Brt Neb,CAS,-,-,39'',00 38.7,+60 17,9.675,60.28333333333333,2b
PK 147- 2.1,N/A,M1- 4,Pln Neb,PER,13.6,7.7,4'',03 41.7,+52 17,55.425000000000004,52.28333333333333,N/A
PK 147+ 4.1,N/A,M2- 2,Pln Neb,CAM,13.7,9,6.0'',04 13.3,+56 57,63.325,56.95,3
