designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
Lynga  9,N/A,N/A,Opn CL,NOR,-,-,5',16 20.7,-48 31,245.17499999999998,-48.516666666666666,III 1m:a
Lynga 11,N/A,N/A,Opn CL,ARA,-,-,4',16 38.1,-46 19,249.52500000000003,-46.31666666666667,III 2p :b
Lynga 12,N/A,N/A,Opn CL,ARA,-,-,5',16 46.0,-50 46,251.5,-50.766666666666666,III 2m :b
Lynga 13,N/A,N/A,Opn CL,SCO,-,-,7',16 50.0,-43 26,252.49999999999997,-43.43333333333333,III 1m:b
Lynga 14,N/A,N/A,Opn CL,SCO,9.7,-,2',16 55.0,-45 15,253.75000000000003,-45.25,N/A
Maffei 1,N/A,N/A,Galaxy,CAS,11.4,10,5',02 36.3,+59 39,39.075,59.65,N/A
Markarian 38,N/A,N/A,Opn CL,SGR,-,-,2',18 15.3,-18 59,273.825,-18.983333333333334,I 1p :a
Mrk   6,N/A,N/A,Opn CL,CAS,7.1,-,4.5',02 29.6,+60 39,37.4,60.65,IV 2 p
Mrk  18,N/A,N/A,Opn CL,VEL,7.8,-,2.0',09 00.6,-48 59,135.15,-48.983333333333334,N/A
Mrk  50,N/A,N/A,Opn CL,CEP,8.5,-,5.0',23 15.3,+60 28,348.825,60.46666666666667,I 2 p n
Mrk 408,N/A,CGCG 182-020,Galaxy,LEO,13.9,-,N/A,09 48.1,+32 53,147.02499999999998,32.88333333333333,N/A
MCG +02-32-110,N/A,N/A,Galaxy,VIR,11.2,-,N/A,12 30.9,+12 16,187.72500000000002,12.266666666666667,N/A
MCG +08-01-016,N/A,N/A,Galaxy,AND,12,-,1.0',23 59.2,+46 53,359.8,46.88333333333333,N/A
MCG +08-01-018,N/A,N/A,Galaxy,AND,12,-,0.4',23 59.9,+47 16,359.975,47.266666666666666,N/A
MCG +09-20-046,N/A,N/A,Galaxy,UMA,11.8,-,1.5',11 57.8,+55 28,179.45,55.46666666666667,N/A
MCG +09-20-052,N/A,N/A,Galaxy,UMA,11.7,-,2.5',11 59.5,+50 55,179.875,50.916666666666664,N/A
MCG +10-13-057,N/A,N/A,Galaxy,UMA,12.1,-,1.3',09 07.6,+60 28,136.9,60.46666666666667,N/A
MCG +10-19-040,N/A,N/A,Galaxy,UMA,12,-,0.5',13 08.7,+62 17,197.17499999999998,62.28333333333333,N/A
MCG +13-07-007,N/A,N/A,Galaxy,CAM,12,-,0.9',08 53.2,+76 30,133.3,76.5,N/A
MCG -01-24-001,N/A,N/A,Galaxy,HYA,11.3,12.7,4.3',09 10.8,-08 54,137.7,-8.9,N/A
MCG -01-25-011,N/A,N/A,Galaxy,HYA,11,-,2',09 38.9,-04 49,144.725,-4.816666666666666,N/A
MCG -02-24-007,N/A,Hydra A,Galaxy,HYA,12.9,12.1,0.7',09 18.1,-12 06,139.52499999999998,-12.1,SA0
MCG -02-53-003,N/A,Aquarius Dwarf,Galaxy,AQR,13.9,14.8,2.2',20 46.8,-12 51,311.70000000000005,-12.85,IBm
MCG -03-01-015,N/A,UGCA 444;WLM,Galaxy,CET,10.6,14.6,11',00 01.9,-15 27,0.4749999999999999,-15.45,N/A
MCG -03-03-011,N/A,N/A,Galaxy,CET,12.5,13.9,3',00 58.8,-18 47,14.7,-18.783333333333335,N/A
MCG -03-28-004,N/A,N/A,Galaxy,HYA,12,-,0.3',10 48.1,-20 53,162.02499999999998,-20.883333333333333,N/A
