designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
Ru  85,N/A,N/A,Opn CL,VEL,-,-,1.7',10 01.5,-55 07,150.375,-55.11666666666667,III 1m:b
Ru  86,N/A,N/A,Opn CL,CAR,-,-,12',10 01.5,-59 31,150.375,-59.516666666666666,III 2 m
Ru  87,N/A,N/A,Opn CL,VEL,-,-,2.2',10 15.5,-50 43,153.875,-50.71666666666667,II 3 p
Ru  90,N/A,N/A,Opn CL,CAR,-,-,9',10 31.0,-58 27,157.75,-58.45,IV 2 p
Ru  91,N/A,N/A,Opn CL,CAR,-,-,1.7',10 47.7,-57 28,161.925,-57.46666666666667,II 2 p
Ru 106,N/A,N/A,Glob CL,CEN,10.9,-,2',12 38.7,-51 09,189.67499999999998,-51.15,N/A
Ru 108,N/A,N/A,Opn CL,CEN,7.5,-,12',13 32.2,-58 29,203.05,-58.483333333333334,III 2 p
Ru 111,N/A,N/A,Opn CL,CEN,-,-,8',14 36.8,-59 56,219.2,-59.93333333333333,III 1m:b
Ru 113,N/A,Cr  36,Opn CL,NOR,-,-,45',15 57.2,-59 28,239.3,-59.46666666666667,III 1 m
Ru 114,N/A,N/A,Opn CL,NOR,-,-,8',16 06.6,-55 52,241.64999999999998,-55.86666666666667,IV 1m:b
Ru 115,N/A,N/A,Opn CL,NOR,-,-,5',16 12.9,-52 23,243.225,-52.38333333333333,III 1p :a
Ru 116,N/A,N/A,Opn CL,NOR,-,-,5',16 23.4,-52 00,245.85000000000002,-52.0,II 2 p
Ru 117,N/A,N/A,Opn CL,NOR,-,-,1.7',16 23.5,-51 52,245.875,-51.86666666666667,III 1p :a
Ru 119,N/A,N/A,Opn CL,NOR,8.8,-,8',16 28.3,-51 31,247.07500000000002,-51.516666666666666,II 1 p
Ru 120,N/A,N/A,Opn CL,ARA,-,-,3.4',16 35.2,-48 17,248.79999999999998,-48.28333333333333,II 3p :a
Ru 121,N/A,N/A,Opn CL,ARA,-,-,8',16 41.8,-46 09,250.45,-46.15,IV 1m:b
Ru 123,N/A,Harvard 14,Opn CL,SCO,-,-,9',17 23.4,-37 56,260.85,-37.93333333333333,II 3 p
Ru 126,N/A,N/A,Opn CL,SCO,-,-,6',17 35.0,-34 19,263.75,-34.31666666666667,IV 2p :b
Ru 127,N/A,N/A,Opn CL,SCO,8.8,-,8',17 37.8,-36 18,264.45,-36.3,IV 2 p
Ru 128,N/A,N/A,Opn CL,SCO,-,-,3.4',17 44.3,-34 53,266.075,-34.88333333333333,IV 1m:b
Ru 130,N/A,N/A,Opn CL,SGR,-,-,3.9',17 47.5,-30 06,266.875,-30.1,II 1p :b
Ru 131,N/A,N/A,Opn CL,SGR,-,-,10',17 49.1,-29 13,267.27500000000003,-29.216666666666665,III 1 p
Ru 133,N/A,N/A,Opn CL,SGR,-,-,5',17 52.5,-28 41,268.125,-28.683333333333334,IV 2p :b
Ru 134,N/A,N/A,Opn CL,SGR,-,-,5',17 52.8,-29 33,268.2,-29.55,II 1 mn:b
Ru 135,N/A,N/A,Opn CL,SER,-,-,11',17 58.0,-11 39,269.5,-11.65,I 1 p
Ru 136,N/A,N/A,Opn CL,SGR,-,-,2.2',17 59.3,-24 41,269.825,-24.683333333333334,IV 1m:b
Ru 137,N/A,N/A,Opn CL,SGR,-,-,3',18 00.0,-25 10,270.0,-25.166666666666668,IV 2m :b
Ru 138,N/A,N/A,Opn CL,SGR,-,-,4',18 00.0,-24 40,270.0,-24.666666666666668,IV 1p :b
Ru 139,N/A,N/A,Opn CL,SGR,-,-,10',18 01.2,-23 32,270.3,-23.533333333333335,III 2rn:b
Ru 140,N/A,N/A,Opn CL,SGR,-,-,3.5',18 21.8,-33 15,275.45,-33.25,III 2 p
Ru 141,N/A,N/A,Opn CL,SCT,-,-,7',18 31.3,-12 19,277.82500000000005,-12.316666666666666,III 2 m
Ru 142,N/A,N/A,Opn CL,SCT,-,-,4',18 32.2,-12 14,278.04999999999995,-12.233333333333333,IV 1p :b
Ru 143,N/A,N/A,Opn CL,SCT,-,-,5',18 32.7,-12 08,278.175,-12.133333333333333,IV 1m:b
