designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
NGC   68,N/A,UGC   170,Galaxy,AND,12.9,14.2,1.2',00 18.3,+30 04,4.577041666666666,30.07175,E-SO
NGC   70,N/A,UGC   174;IC 1539,Galaxy,AND,13.5,13.9,1.6',00 18.4,+30 05,4.593916666666667,30.079583333333332,Sbc
NGC   71,N/A,UGC   173;V V 166,Galaxy,AND,13.2,13.4,1.5',00 18.4,+30 04,4.59825,30.06325,S0 Pec
NGC   72,N/A,UGC   176;V V 166,Galaxy,AND,13.5,13.3,1.1',00 18.5,+30 02,4.6182083333333335,30.040694444444448,SBab
NGC   73,N/A,MCG - 3- 1- 26,Galaxy,CET,13.6,-,1.7',00 18.6,-15 19,4.662541666666666,-15.32225,Sbc
NGC   75,N/A,UGC   182,Galaxy,PSC,13.2,13.9,1.5',00 19.4,+06 27,4.859708333333333,6.449361111111111,SO
NGC   76,N/A,UGC   185,Galaxy,AND,13,12.7,1',00 19.6,+29 56,4.907458333333333,29.93386111111111,Compact
NGC   78A,N/A,NGC   78-1,Galaxy,PSC,13.7,13.3,1.1',00 20.4,+00 50,5.1,0.8333333333333334,SBO-a
NGC   78B,N/A,NGC   78-2,Galaxy,PSC,13.5,12.3,0.7',00 20.5,+00 50,5.125,0.8333333333333334,SO
NGC   80,N/A,UGC   203,Galaxy,AND,12.1,13.2,2.2',00 21.2,+22 21,5.295208333333333,22.357194444444445,E-SO
NGC   82,N/A,N/A,Star,AND,14,-,N/A,00 21.3,+22 28,5.323125,22.460361111111112,N/A
NGC   83,N/A,UGC   206,Galaxy,AND,12.5,13.4,1.3',00 21.4,+22 26,5.343333333333334,22.433611111111112,E0
NGC   89,N/A,ESO 194-11,Galaxy,PHE,13.5,13,1.2',00 21.4,-48 40,5.3515,-48.665305555555555,SBO-a
NGC   91,N/A,N/A,Star,AND,13.7,14,N/A,00 21.9,+22 22,5.4655,22.368361111111113,N/A
NGC   92,N/A,ESO 194-12,Galaxy,PHE,13.1,13.6,1.9',00 21.5,-48 38,5.382083333333333,-48.62475,Sa
NGC   93,N/A,UGC   209,Galaxy,AND,13.3,12.9,1.4',00 22.1,+22 25,5.5134583333333325,22.40808333333333,Sb
NGC   95,N/A,UGC   214,Galaxy,PSC,12.5,13.2,2.1',00 22.2,+10 29,5.556416666666666,10.491583333333333,SBc Ring
NGC   97,N/A,UGC   216,Galaxy,AND,12.3,13,1.5',00 22.5,+29 45,5.625,29.745361111111112,Elliptical
NGC   98,N/A,ESO 242- 5,Galaxy,PHE,13.4,-,1.6',00 22.8,-45 16,5.706416666666667,-45.269,SBbc
NGC   99,N/A,UGC   230,Galaxy,PSC,13.6,14.1,1.4',00 24.0,+15 46,5.997458333333333,15.770416666666668,Scp
NGC  100,N/A,UGC   231,Galaxy,PSC,13.3,14.6,5.7',00 24.0,+16 29,6.011833333333334,16.48638888888889,Sc
NGC  101,N/A,ESO 350-14,Galaxy,SCL,12.8,14.3,2.1',00 23.9,-32 32,5.977541666666667,-32.53616666666667,SBc
NGC  102,N/A,MCG - 2- 2- 11,Galaxy,CET,14,-,1',00 24.6,-13 57,6.152208333333333,-13.95636111111111,SBO-a
NGC  103,N/A,OCL  291,Opn CL,CAS,9.8,-,5',00 25.3,+61 19,6.318333333333333,61.32347222222223,II 2 p
NGC  105,N/A,UGC   241,Galaxy,PSC,13.2,12.8,1.1',00 25.3,+12 53,6.319916666666667,12.883861111111111,Sab
NGC  108,N/A,UGC   246,Galaxy,AND,12.1,13.3,2',00 26.0,+29 13,6.498875,29.212055555555555,SBO-a
NGC  109,N/A,UGC   251,Galaxy,AND,13.7,13.8,1.1',00 26.2,+21 48,6.561,21.807305555555555,SBa
NGC  110,N/A,OCL  300,Opn CL,CAS,-,-,19',00 27.4,+71 24,6.854208333333333,71.39152777777778,IV 1 p
NGC  112,N/A,UGC   255,Galaxy,AND,13.5,12.7,1',00 26.8,+31 42,6.703041666666667,31.703305555555556,Sc
NGC  113,N/A,MCG - 1- 2- 16,Galaxy,CET,13.5,-,1.4',00 26.9,-02 30,6.727666666666667,-2.500888888888889,E-SO
NGC  114,N/A,UGC   259,Galaxy,CET,13.7,13,0.8',00 27.0,-01 47,6.742625,-1.78625,SBO
